latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.185538,-78.491754,2806.838172912598,2020-05-20T02:05:42.000+0000,2020-05-20T02:05:42.000+0000,9.68,46952.73,45.0,0.0,2020-05-20,02:05:42,2020-05-20 02:05:42+00:00,3
-0.185367,-78.49175,2805.383338928223,2020-05-20T02:10:42.000+0000,2020-05-20T02:10:42.000+0000,19.04,46971.77,44.0,1.846647976827621,2020-05-20,02:10:42,2020-05-20 02:10:42+00:00,3
-0.185408,-78.491754,2807.043739318848,2020-05-20T02:15:42.000+0000,2020-05-20T02:15:42.000+0000,4.59,46976.36,43.0,0.0,2020-05-20,02:15:42,2020-05-20 02:15:42+00:00,3
-0.185618,-78.491804,2813.240516662598,2020-05-20T02:20:43.000+0000,2020-05-20T02:20:43.000+0000,24.03,47000.39,42.0,0.0,2020-05-20,02:20:43,2020-05-20 02:20:43+00:00,3
-0.185719,-78.491795,2821.320350646973,2020-05-20T02:25:43.000+0000,2020-05-20T02:25:43.000+0000,11.29,47011.68,41.0,0.7775360115861892,2020-05-20,02:25:43,2020-05-20 02:25:43+00:00,3
-0.185721,-78.491782,2823.076942443848,2020-05-20T02:30:44.000+0000,2020-05-20T02:30:44.000+0000,1.46,47013.14,39.0,0.0,2020-05-20,02:30:44,2020-05-20 02:30:44+00:00,3
-0.185721,-78.491782,2822.259071350098,2020-05-20T02:35:45.000+0000,2020-05-20T02:35:45.000+0000,0.0,47013.14,38.0,0.0,2020-05-20,02:35:45,2020-05-20 02:35:45+00:00,3
-0.185721,-78.491782,2822.010780334473,2020-05-20T02:40:45.000+0000,2020-05-20T02:40:45.000+0000,0.0,47013.14,37.0,0.0,2020-05-20,02:40:45,2020-05-20 02:40:45+00:00,3
-0.185703,-78.491772,2822.126747131348,2020-05-20T02:45:45.000+0000,2020-05-20T02:45:45.000+0000,2.29,47015.43,36.0,0.0,2020-05-20,02:45:45,2020-05-20 02:45:45+00:00,3
-0.185703,-78.491772,2822.269813537598,2020-05-20T02:50:46.000+0000,2020-05-20T02:50:46.000+0000,0.0,47015.43,35.0,0.0,2020-05-20,02:50:46,2020-05-20 02:50:46+00:00,3
